url,response,found_char_imgs,img_urls
http://www.getchu.com/soft.phtml?id=407005,200,True,"['http://www.getchu.com/brandnew/407005/c407005chara1.jpg', 'http://www.getchu.com/brandnew/407005/c407005chara2.jpg', 'http://www.getchu.com/brandnew/407005/c407005chara3.jpg', 'http://www.getchu.com/brandnew/407005/c407005chara4.jpg', 'http://www.getchu.com/brandnew/407005/c407005chara5.jpg', 'http://www.getchu.com/brandnew/407005/c407005chara6.jpg', 'http://www.getchu.com/brandnew/407005/c407005chara7.jpg']"
http://www.getchu.com/soft.phtml?id=395485,200,True,"['http://www.getchu.com/brandnew/395485/c395485chara1.jpg', 'http://www.getchu.com/brandnew/395485/c395485chara2.jpg']"
http://www.getchu.com/soft.phtml?id=692829,200,True,"['http://www.getchu.com/brandnew/692829/c692829chara1.jpg', 'http://www.getchu.com/brandnew/692829/c692829chara2.jpg', 'http://www.getchu.com/brandnew/692829/c692829chara3.jpg', 'http://www.getchu.com/brandnew/692829/c692829chara4.jpg', 'http://www.getchu.com/brandnew/692829/c692829chara5.jpg', 'http://www.getchu.com/brandnew/692829/c692829chara6.jpg', 'http://www.getchu.com/brandnew/692829/c692829chara7.jpg', 'http://www.getchu.com/brandnew/692829/c692829chara8.jpg', 'http://www.getchu.com/brandnew/692829/c692829chara9.jpg']"
http://www.getchu.com/soft.phtml?id=701551,200,True,"['http://www.getchu.com/brandnew/701551/c701551chara1.jpg', 'http://www.getchu.com/brandnew/701551/c701551chara2.jpg', 'http://www.getchu.com/brandnew/701551/c701551chara3.jpg', 'http://www.getchu.com/brandnew/701551/c701551chara4.jpg', 'http://www.getchu.com/brandnew/701551/c701551chara5.jpg']"
http://www.getchu.com/soft.phtml?id=1037,200,True,"['http://www.getchu.com/brandnew/1037/c1037chara1.jpg', 'http://www.getchu.com/brandnew/1037/c1037chara2.jpg', 'http://www.getchu.com/brandnew/1037/c1037chara3.jpg', 'http://www.getchu.com/brandnew/1037/c1037chara4.jpg', 'http://www.getchu.com/brandnew/1037/c1037chara5.jpg']"
http://www.getchu.com/soft.phtml?id=720478,200,True,"['http://www.getchu.com/brandnew/720478/c720478chara1.jpg', 'http://www.getchu.com/brandnew/720478/c720478chara2.jpg']"
http://www.getchu.com/soft.phtml?id=725092,200,True,"['http://www.getchu.com/brandnew/725092/c725092chara1.jpg', 'http://www.getchu.com/brandnew/725092/c725092chara2.jpg', 'http://www.getchu.com/brandnew/725092/c725092chara3.jpg']"
http://www.getchu.com/soft.phtml?id=755275,200,True,"['http://www.getchu.com/brandnew/755275/c755275chara1.jpg', 'http://www.getchu.com/brandnew/755275/c755275chara2.jpg', 'http://www.getchu.com/brandnew/755275/c755275chara3.jpg', 'http://www.getchu.com/brandnew/755275/c755275chara4.jpg', 'http://www.getchu.com/brandnew/755275/c755275chara5.jpg', 'http://www.getchu.com/brandnew/755275/c755275chara6.jpg', 'http://www.getchu.com/brandnew/755275/c755275chara7.jpg', 'http://www.getchu.com/brandnew/755275/c755275chara8.jpg', 'http://www.getchu.com/brandnew/755275/c755275chara9.jpg', 'http://www.getchu.com/brandnew/755275/c755275chara10.jpg']"
http://www.getchu.com/soft.phtml?id=401385,200,True,"['http://www.getchu.com/brandnew/401385/c401385chara1.jpg', 'http://www.getchu.com/brandnew/401385/c401385chara2.jpg', 'http://www.getchu.com/brandnew/401385/c401385chara3.jpg', 'http://www.getchu.com/brandnew/401385/c401385chara4.jpg', 'http://www.getchu.com/brandnew/401385/c401385chara5.jpg', 'http://www.getchu.com/brandnew/401385/c401385chara6.jpg']"
http://www.getchu.com/soft.phtml?id=731867,200,True,"['http://www.getchu.com/brandnew/731867/c731867chara1.jpg', 'http://www.getchu.com/brandnew/731867/c731867chara2.jpg', 'http://www.getchu.com/brandnew/731867/c731867chara3.jpg', 'http://www.getchu.com/brandnew/731867/c731867chara4.jpg', 'http://www.getchu.com/brandnew/731867/c731867chara5.jpg']"
